Date,Open,High,Low,Close,Volume,Adj Close
2011-09-20,69.00,69.72,68.32,68.63,1043600,68.35
2011-09-19,68.90,69.21,68.45,68.78,790400,68.49
2011-09-16,71.19,71.58,69.28,69.28,3042200,68.99
2011-09-15,70.56,70.98,69.27,70.94,1046400,70.65
2011-09-14,69.37,70.84,68.37,70.21,1233200,69.92
2011-09-13,67.95,69.27,67.66,68.89,1626700,68.60
2011-09-12,67.54,68.23,66.79,67.54,1030000,67.26
2011-09-09,69.01,69.97,68.07,68.31,978800,68.03
2011-09-08,70.01,70.45,69.50,69.61,909200,69.32
2011-09-07,70.34,70.96,70.02,70.80,613800,70.51
2011-09-06,68.95,70.20,68.10,70.20,1047100,69.59
2011-09-02,70.82,71.50,70.28,70.54,892200,69.92
2011-09-01,72.40,72.91,71.46,71.79,1477800,71.16
2011-08-31,72.08,73.13,71.81,72.03,1604900,71.40
2011-08-30,71.03,72.18,70.75,71.74,1112100,71.11
2011-08-29,70.75,71.35,70.04,71.01,542600,70.39
2011-08-26,69.28,70.34,67.84,69.86,791700,69.25
2011-08-25,70.38,70.57,69.28,69.58,767200,68.97
2011-08-24,69.69,70.33,69.37,70.31,821500,69.69
2011-08-23,68.05,69.76,67.45,69.76,1252300,69.15
2011-08-22,68.39,68.40,67.21,67.40,918400,66.81
2011-08-19,66.72,68.79,66.67,67.18,1478200,66.59
2011-08-18,68.85,68.93,66.66,68.22,1305500,67.62
2011-08-17,69.86,70.75,69.68,70.12,1130500,69.51
2011-08-16,70.30,71.13,69.68,69.89,1123800,69.28
2011-08-15,71.45,72.00,70.42,70.53,942000,69.91
2011-08-12,71.16,71.43,69.97,70.99,837800,70.37
2011-08-11,68.36,70.69,67.58,70.13,1677700,69.52
2011-08-10,68.18,68.93,66.04,68.37,1831300,67.77
2011-08-09,66.87,68.72,65.00,68.72,2590000,68.12
2011-08-08,67.30,67.99,65.72,66.21,1905100,65.63
2011-08-05,70.01,70.27,67.30,69.15,1818800,68.54
2011-08-04,70.46,70.74,68.69,69.27,1744700,68.66
2011-08-03,69.69,70.77,68.99,70.75,2092900,70.13
2011-08-02,71.54,71.60,69.54,69.69,1020200,69.08
2011-07-29,71.39,71.84,70.10,71.64,1165000,71.01
2011-07-28,71.25,73.23,71.25,71.84,1053300,71.21
2011-07-27,72.01,72.69,71.33,71.33,889800,70.71
2011-07-26,74.94,74.94,71.69,72.05,1255900,71.42
2011-07-25,74.57,75.57,74.02,75.24,534100,74.58
2011-07-22,75.39,75.44,74.81,74.92,383600,74.26
2011-07-21,73.95,75.45,73.86,75.07,573400,74.41
2011-07-20,74.73,74.73,73.42,73.53,501300,72.89
2011-07-19,73.65,74.48,73.47,74.48,645200,73.83
2011-07-18,74.02,74.15,73.17,73.60,591800,72.96
2011-07-15,74.59,74.59,73.58,74.35,614000,73.70
2011-07-14,74.92,75.03,73.87,74.26,780100,73.61
2011-07-13,74.88,75.81,74.72,74.87,617800,74.21
2011-07-12,75.02,75.47,74.95,75.07,859900,74.41
2011-07-11,76.10,76.10,75.00,75.50,579100,74.84
2011-07-08,76.20,76.30,75.84,76.11,454900,75.44
2011-07-07,77.39,77.39,76.36,76.48,806200,75.81
2011-07-06,77.27,77.62,76.82,77.12,590300,76.44
2011-07-05,77.82,78.08,76.70,76.93,698700,76.26
2011-07-04,77.44,78.00,77.14,77.84,203000,77.16
2011-06-30,76.70,77.55,76.35,77.14,927300,76.46
2011-06-29,76.12,76.87,75.70,76.30,686000,75.63
2011-06-28,74.59,76.09,74.57,76.05,693300,75.38
2011-06-27,74.38,74.87,74.19,74.65,690200,74.00
2011-06-24,74.52,75.08,74.10,74.38,624600,73.73
2011-06-23,74.49,74.89,74.07,74.40,1134400,73.75
2011-06-22,74.79,75.55,74.55,74.95,724500,74.29
2011-06-21,74.35,75.36,74.20,74.92,745400,74.26
2011-06-20,73.68,74.42,73.25,74.16,721200,73.51
2011-06-17,73.83,74.71,73.41,73.41,2905900,72.77
2011-06-16,73.53,73.79,73.08,73.10,886600,72.46
2011-06-15,73.45,74.11,73.34,73.53,682800,72.89
2011-06-14,73.49,74.15,73.18,74.09,871400,73.44
2011-06-13,73.40,74.13,72.88,73.02,1038700,72.38
2011-06-10,74.25,74.62,73.39,73.59,824800,72.95
2011-06-09,73.97,74.97,73.86,74.30,1051700,73.65
2011-06-08,74.15,74.64,73.80,74.06,732100,73.41
2011-06-07,73.55,74.81,73.54,74.64,995600,73.99
2011-06-06,74.75,75.43,74.00,74.07,590700,73.10
2011-06-03,73.60,74.81,73.31,74.81,680000,73.83
2011-06-02,73.94,74.94,73.72,74.42,619500,73.44
2011-06-01,76.12,76.16,73.26,73.26,1161300,72.30
2011-05-31,76.09,76.16,75.30,75.77,793300,74.78
2011-05-30,75.35,76.25,75.25,75.74,116000,74.75
2011-05-27,75.20,76.24,75.14,75.47,517000,74.48
2011-05-26,74.68,75.20,74.46,75.20,409900,74.21
2011-05-25,73.00,74.80,72.53,74.67,734200,73.69
2011-05-24,74.50,74.59,73.11,73.11,877000,72.15
2011-05-20,74.43,75.20,74.43,75.05,1150700,74.07
2011-05-19,73.93,74.94,73.54,74.83,905100,73.85
2011-05-18,72.84,73.95,72.61,73.67,690900,72.70
2011-05-17,73.70,73.88,72.70,72.89,588800,71.93
2011-05-16,73.10,74.00,73.00,73.65,636000,72.68
2011-05-13,73.50,74.05,73.15,73.31,442000,72.35
2011-05-12,73.47,73.84,73.07,73.77,540000,72.80
2011-05-11,73.75,74.23,73.40,73.49,724300,72.53
2011-05-10,74.49,74.77,73.91,73.92,718000,72.95
2011-05-09,74.37,74.49,73.88,74.35,435200,73.38
2011-05-06,73.55,74.36,73.41,74.36,721400,73.39
2011-05-05,72.80,74.13,72.43,73.60,641100,72.64
2011-05-04,73.22,74.16,72.33,72.90,576000,71.94
